Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_unbinned_82__MGr3G3H3I_000000255661_12	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_13	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_14	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_15	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_16	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_17	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_18	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_19	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_2	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_20	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_21	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_22	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_23	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_24	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_25	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_26	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_27	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_28	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_29	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_30	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_31	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_32	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_33	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_34	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_35	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false	membrane protein													phrog_2470	membrane protein	phrog_2470	membrane protein	PHROG
vRhyme_unbinned_82__MGr3G3H3I_000000255661_36	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_37	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_38	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_39	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_4	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_40	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_41	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_42	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_43	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_44	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_45	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_46	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_47	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_48	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_49	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true	terminase large subunit													phrog_979	terminase large subunit	phrog_979	terminase large subunit	PHROG
vRhyme_unbinned_82__MGr3G3H3I_000000255661_50	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_51	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_52	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true	""													phrog_3657	""	phrog_3657	""	PHROG
vRhyme_unbinned_82__MGr3G3H3I_000000255661_53	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true	RecE-like recombination exonuclease					PF09588.17	YqaJ-like viral recombinase domain							phrog_434	RecE-like recombination exonuclease	phrog_434	RecE-like recombination exonuclease	PHROG
vRhyme_unbinned_82__MGr3G3H3I_000000255661_54	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_55	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_56	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_57	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_58	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_59	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_6	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_60	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_67	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_68	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_69	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_7	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_8	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_9	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_1	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	false																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_10	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_11	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	K00590	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]			PF01555.25	DNA methylase							phrog_12517	""	K00590	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	KEGG
vRhyme_unbinned_84__MGr3G3H3I_000000268864_12	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_13	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_14	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true	""					PF07505.18	Protein of unknown function (DUF5131)							phrog_2045	""	phrog_2045	""	PHROG
vRhyme_unbinned_84__MGr3G3H3I_000000268864_15	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	false																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_16	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	false																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_17	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	false																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_18	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	false																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_2	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_3	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_4	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_5	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_6	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_7	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_8	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_84__MGr3G3H3I_000000268864_9	vRhyme_unbinned_84__MGr3G3H3I_000000268864	vRhyme_unbinned_84__MGr3G3H3I_000000268864	unclassified	high	true																		
vRhyme_unbinned_85__MGr3G3H3I_000000273023_10	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	true																		
vRhyme_unbinned_85__MGr3G3H3I_000000273023_11	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	false																		
vRhyme_unbinned_85__MGr3G3H3I_000000273023_2	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	true																		
vRhyme_unbinned_85__MGr3G3H3I_000000273023_3	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	true	head maturation protease													phrog_328	head maturation protease	phrog_328	head maturation protease	PHROG
vRhyme_unbinned_85__MGr3G3H3I_000000273023_4	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	true																		
vRhyme_unbinned_85__MGr3G3H3I_000000273023_5	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	true																		
vRhyme_unbinned_85__MGr3G3H3I_000000273023_6	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	true																		
vRhyme_unbinned_85__MGr3G3H3I_000000273023_7	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	true																		
vRhyme_unbinned_85__MGr3G3H3I_000000273023_8	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	true																		
vRhyme_unbinned_85__MGr3G3H3I_000000273023_9	vRhyme_unbinned_85__MGr3G3H3I_000000273023	vRhyme_unbinned_85__MGr3G3H3I_000000273023	unclassified	high	true																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_1	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_10	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_11	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_12	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_13	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_14	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_15	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_16	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_17	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_18	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_19	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_2	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_20	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_21	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_3	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_4	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_5	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_6	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_7	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_8	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_86__MGr3G3H3I_000000274656_9	vRhyme_unbinned_86__MGr3G3H3I_000000274656	vRhyme_unbinned_86__MGr3G3H3I_000000274656	unclassified	high	false																		
vRhyme_unbinned_87__MGr3G3H3I_000000274731_1	vRhyme_unbinned_87__MGr3G3H3I_000000274731	vRhyme_unbinned_87__MGr3G3H3I_000000274731	unclassified	high	false																		
vRhyme_unbinned_87__MGr3G3H3I_000000274731_2	vRhyme_unbinned_87__MGr3G3H3I_000000274731	vRhyme_unbinned_87__MGr3G3H3I_000000274731	unclassified	high	false																		
vRhyme_unbinned_87__MGr3G3H3I_000000274731_3	vRhyme_unbinned_87__MGr3G3H3I_000000274731	vRhyme_unbinned_87__MGr3G3H3I_000000274731	unclassified	high	false																		
vRhyme_unbinned_87__MGr3G3H3I_000000274731_4	vRhyme_unbinned_87__MGr3G3H3I_000000274731	vRhyme_unbinned_87__MGr3G3H3I_000000274731	unclassified	high	false																		
vRhyme_unbinned_87__MGr3G3H3I_000000274731_5	vRhyme_unbinned_87__MGr3G3H3I_000000274731	vRhyme_unbinned_87__MGr3G3H3I_000000274731	unclassified	high	false																		
vRhyme_unbinned_87__MGr3G3H3I_000000274731_7	vRhyme_unbinned_87__MGr3G3H3I_000000274731	vRhyme_unbinned_87__MGr3G3H3I_000000274731	unclassified	high	true																		
